Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes,total_clean,.default
barr,2011,29-May-11,brw1,b10,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,b12,100,NA,NA,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,b2,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,b4,100,NA,NA,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,b6,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,b8,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,d10,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,d12,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,d2,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,d4,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,d6,90,10,NA,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,d8,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,f10,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,f12,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,f2,80,NA,20,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,f4,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,f6,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,f8,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,h10,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,h12,80,5,15,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,h2,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,h4,90,5,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,h6,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,h8,95,5,NA,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,j10,100,NA,NA,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,j12,90,5,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,j2,70,NA,30,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,j4,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,j6,85,5,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,j8,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,l10,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,l12,95,5,NA,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,l2,50,NA,50,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,l4,85,NA,15,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,l6,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw1,l8,85,NA,15,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,b10,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,b12,95,NA,5,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,b2,20,10,70,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,b4,40,NA,60,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,b6,50,NA,50,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,b8,60,NA,40,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,d10,50,NA,50,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,d12,40,5,55,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,d2,10,10,80,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,d4,20,10,70,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,d6,20,5,75,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,d8,40,NA,60,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,f10,40,5,55,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,f12,30,NA,70,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,f2,65,NA,35,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,f4,20,NA,80,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,f6,20,NA,80,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,f8,40,NA,60,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,h10,60,NA,40,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,h12,90,NA,10,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,h2,50,10,40,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,h4,50,10,40,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,h6,30,NA,70,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,h8,10,10,80,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,j10,80,NA,20,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,j12,80,NA,20,100,adoll,NA,100,NA
barr,2011,29-May-11,brw2,j2,70,5,25,100,adoll,NA,100,NA
